type,state,regiment,brigade,division,corps,army,men,killed,wounded,captured,missing,total_casualties,3inch_rifles,4.5inch_rifles,10lb_parrots,12lb_howitzers,12lb_napoleons,6lb_howitzers,24lb_howitzers,20lb_parrots,12lb_whitworths,14lb_rifles,Total Guns
Infantry,Pennsylvania,143rd,Stone,Doubleday,Reynolds,Union,465,40,106,0,105,251,,,,,,,,,,,0
Infantry,Pennsylvania,149th,Stone,Doubleday,Reynolds,Union,450,67,181,5,59,312,,,,,,,,,,,0
Infantry,Pennsylvania,150th,Stone,Doubleday,Reynolds,Union,400,56,146,15,75,292,,,,,,,,,,,0
Infantry,Vermont,13th,Stannard,Doubleday,Reynolds,Union,636,22,85,0,24,131,,,,,,,,,,,0
Infantry,Vermont,14th,Stannard,Doubleday,Reynolds,Union,647,30,70,0,18,118,,,,,,,,,,,0
Infantry,Vermont,16th,Stannard,Doubleday,Reynolds,Union,661,25,82,0,20,127,,,,,,,,,,,0
Artillery,US,Bty_B_4th,Wainwright,Artillery_Bde,Reynolds,Union,123,4,28,1,3,36,,,,,6,,,,,,6
Artillery,Maine,Bty_B_2nd_Light,Wainwright,Artillery_Bde,Reynolds,Union,117,0,17,0,1,18,6,,,,,,,,,,6
Artillery,Maine,Bty_E_5th_Light,Wainwright,Artillery_Bde,Reynolds,Union,119,4,12,0,6,22,,,,,6,,,,,,6
Artillery,New York,Bty_EandL_1st_Light,Wainwright,Artillery_Bde,Reynolds,Union,124,2,14,0,0,16,6,,,,,,,,,,6
Artillery,Pennsylvania,Bty_B_1st_Light,Wainwright,Artillery_Bde,Reynolds,Union,106,3,9,0,0,12,4,,,,,,,,,,4
Infantry,New Hampshire,5th,Cross,Caldwell,Hancock,Union,179,33,50,0,0,83,,,,,,,,,,,0
Infantry,New York,61st,Cross,Caldwell,Hancock,Union,104,16,46,0,0,62,,,,,,,,,,,0
Infantry,Pennsylvania,81st,Cross,Caldwell,Hancock,Union,175,12,46,0,4,62,,,,,,,,,,,0
Infantry,Pennsylvania,148th,Cross,Caldwell,Hancock,Union,392,30,102,2,3,137,,,,,,,,,,,0
Infantry,Massachusetts,28th,Kelly,Caldwell,Hancock,Union,224,13,58,5,30,106,,,,,,,,,,,0
Infantry,New York,63rd,Kelly,Caldwell,Hancock,Union,75,8,8,1,5,22,,,,,,,,,,,0
Infantry,New York,69th,Kelly,Caldwell,Hancock,Union,75,4,19,1,4,28,,,,,,,,,,,0
Infantry,New York,88th,Kelly,Caldwell,Hancock,Union,90,6,17,1,4,28,,,,,,,,,,,0
Infantry,Pennsylvania,116th,Kelly,Caldwell,Hancock,Union,66,11,20,1,5,37,,,,,,,,,,,0
Infantry,New York,52nd,Zook,Caldwell,Hancock,Union,134,5,23,1,8,37,,,,,,,,,,,0
Infantry,New York,57th,Zook,Caldwell,Hancock,Union,175,5,26,3,1,35,,,,,,,,,,,0
Infantry,New York,66th,Zook,Caldwell,Hancock,Union,147,7,31,0,10,48,,,,,,,,,,,0
Infantry,Pennsylvania,140th,Zook,Caldwell,Hancock,Union,514,60,132,6,32,230,,,,,,,,,,,0
Infantry,Connecticut,27th,Brooke,Caldwell,Hancock,Union,75,21,13,2,3,39,,,,,,,,,,,0
Infantry,Delaware,2nd,Brooke,Caldwell,Hancock,Union,234,17,55,0,12,84,,,,,,,,,,,0
Infantry,New York,64th,Brooke,Caldwell,Hancock,Union,204,24,60,0,18,102,,,,,,,,,,,0
Infantry,Pennsylvania,53rd,Brooke,Caldwell,Hancock,Union,135,14,62,1,2,79,,,,,,,,,,,0
Infantry,Pennsylvania,145th,Brooke,Caldwell,Hancock,Union,202,26,52,0,7,85,,,,,,,,,,,0
Infantry,Maine,19th,Harrow,Gibbon,Hancock,Union,439,66,145,0,0,211,,,,,,,,,,,0
Infantry,Massachusetts,15th,Harrow,Gibbon,Hancock,Union,239,35,80,1,28,144,,,,,,,,,,,0
Infantry,Minnesota,1st,Harrow,Gibbon,Hancock,Union,297,75,161,1,0,237,,,,,,,,,,,0
Infantry,Minnesota,2nd_Co_sharp,Harrow,Gibbon,Hancock,Union,33,1,2,0,0,3,,,,,,,,,,,0
Infantry,New York,82nd,Harrow,Gibbon,Hancock,Union,355,58,130,1,10,199,,,,,,,,,,,0
Infantry,Pennsylvania,69th,Webb,Gibbon,Hancock,Union,284,55,73,0,16,144,,,,,,,,,,,0
Infantry,Pennsylvania,71st,Webb,Gibbon,Hancock,Union,261,25,57,1,19,102,,,,,,,,,,,0
Infantry,Pennsylvania,72nd,Webb,Gibbon,Hancock,Union,380,65,132,0,0,197,,,,,,,,,,,0
Infantry,Pennsylvania,106th,Webb,Gibbon,Hancock,Union,280,11,52,1,1,65,,,,,,,,,,,0
Infantry,Massachusetts,19th,Hall,Gibbon,Hancock,Union,163,15,65,0,1,81,,,,,,,,,,,0
Infantry,Massachusetts,20th,Hall,Gibbon,Hancock,Union,243,43,80,3,2,128,,,,,,,,,,,0
Infantry,Michigan,7th,Hall,Gibbon,Hancock,Union,165,25,42,0,0,67,,,,,,,,,,,0
Infantry,New York,42nd,Hall,Gibbon,Hancock,Union,197,28,47,1,0,76,,,,,,,,,,,0
Infantry,New York,59th,Hall,Gibbon,Hancock,Union,152,12,27,0,1,40,,,,,,,,,,,0
Infantry,Massachusetts,1st_Co_sharp,Hall,Gibbon,Hancock,Union,50,4,4,0,0,8,,,,,,,,,,,0
Infantry,Indiana,14th,Carroll,Hays,Hancock,Union,191,9,22,0,0,31,,,,,,,,,,,0
Infantry,Ohio,4th,Carroll,Hays,Hancock,Union,299,12,15,0,6,33,,,,,,,,,,,0
Infantry,Ohio,8th,Carroll,Hays,Hancock,Union,209,28,76,0,1,105,,,,,,,,,,,0
Infantry,West Virginia,7th,Carroll,Hays,Hancock,Union,234,9,34,0,1,44,,,,,,,,,,,0
Infantry,Connecticut,14th,Smyth,Hays,Hancock,Union,172,14,50,1,4,69,,,,,,,,,,,0
Infantry,Delaware,1st,Smyth,Hays,Hancock,Union,251,15,49,0,13,77,,,,,,,,,,,0
Infantry,New Jersey,12th,Smyth,Hays,Hancock,Union,444,27,81,0,9,117,,,,,,,,,,,0
Infantry,New York,108th,Smyth,Hays,Hancock,Union,200,19,90,0,0,109,,,,,,,,,,,0
Infantry,New York,39th,Willard,Hays,Hancock,Union,269,25,68,1,0,94,,,,,,,,,,,0
Infantry,New York,111th,Willard,Hays,Hancock,Union,390,100,145,1,4,250,,,,,,,,,,,0
Infantry,New York,125th,Willard,Hays,Hancock,Union,392,41,98,1,8,148,,,,,,,,,,,0
Infantry,New York,126th,Willard,Hays,Hancock,Union,455,65,162,3,4,234,,,,,,,,,,,0
Artillery,US,Bty_I_1st,Hazard,Artillery_Bde,Hancock,Union,112,5,20,0,0,25,,,,,6,,,,,,6
Artillery,US,Bty_A_4th,Hazard,Artillery_Bde,Hancock,Union,126,10,31,0,0,41,6,,,,,,,,,,6
Artillery,New York,Bty_B_1st_Light,Hazard,Artillery_Bde,Hancock,Union,117,11,15,0,0,26,,,4,,,,,,,,4
Artillery,Rhode Island,Bty_A_1st_Light,Hazard,Artillery_Bde,Hancock,Union,117,5,29,0,0,34,6,,,,,,,,,,6
Artillery,Rhode Island,Bty_B_1st_Light,Hazard,Artillery_Bde,Hancock,Union,129,7,18,0,2,27,,,,,6,,,,,,6
Infantry,Pennsylvania,57th,Graham,Birney,Sickles,Union,207,18,41,2,54,115,,,,,,,,,,,0
Infantry,Pennsylvania,63rd,Graham,Birney,Sickles,Union,246,3,29,0,3,35,,,,,,,,,,,0
Infantry,Pennsylvania,68th,Graham,Birney,Sickles,Union,320,46,94,1,10,151,,,,,,,,,,,0
